ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
347604,2024-11-07 00:04:16.425,2024-11-07 00:04:23.899,2024-11-07 00:05:24.006,67.581,Heavy (larger than 136000 kg),-3.5609123923561787,40.49943439031051,-3.56036376953125,40.499507904052734,Y1,False,18L/36R,2024-11-07,0
896314,2024-11-07 00:05:04.710,2024-11-07 00:05:14.714,2024-11-07 00:07:06.079,121.369,Heavy (larger than 136000 kg),-3.5609283447265625,40.500308990478516,-3.5603505914861504,40.50035379700741,Y2,False,18L/36R,2024-11-07,0
e80450,2024-11-07 00:07:21.339,2024-11-07 00:07:30.730,2024-11-07 00:08:57.963,96.624,Heavy (larger than 136000 kg),-3.560927997935902,40.49943439031051,-3.5603505914861504,40.499515856726696,Y1,False,18L/36R,2024-11-07,0
347605,2024-11-07 00:09:05.037,2024-11-07 00:09:12.003,2024-11-07 00:10:51.137,106.1,Heavy (larger than 136000 kg),-3.5608499700372866,40.49943439031051,-3.56036376953125,40.49951934814453,Y1,False,18L/36R,2024-11-07,0
346385,2024-11-07 00:11:48.907,2024-11-07 00:11:56.170,2024-11-07 00:12:57.657,68.75,Heavy (larger than 136000 kg),-3.560943603515625,40.499427795410156,-3.56036376953125,40.49948501586914,Y1,False,18L/36R,2024-11-07,0
34558e,2024-11-07 00:16:59.804,2024-11-07 00:17:05.862,2024-11-07 00:17:41.583,41.779,Heavy (larger than 136000 kg),-3.5609123923561787,40.49942275225106,-3.5603349859064273,40.49950421866724,Y1,False,18L/36R,2024-11-07,0
347518,2024-11-07 00:22:18.763,2024-11-07 00:26:21.023,2024-11-07 00:27:49.530,330.767,Heavy (larger than 136000 kg),-3.5609283447265625,40.499427795410156,-3.5603661970658735,40.49948094254833,Y1,True,18L/36R,2024-11-07,0
3462c9,2024-11-07 00:59:50.066,2024-11-07 00:59:58.107,2024-11-07 01:00:53.938,63.872,Heavy (larger than 136000 kg),-3.560943603515625,40.49944602836997,-3.5603485107421875,40.499507904052734,Y1,False,18L/36R,2024-11-07,1
4bb14d,2024-11-07 01:36:23.152,2024-11-07 01:36:31.208,2024-11-07 01:37:21.021,57.869,Heavy (larger than 136000 kg),-3.560943603515625,40.49945068359375,-3.5603505914861504,40.499515856726696,Y1,False,18L/36R,2024-11-07,1
34530c,2024-11-07 01:58:48.907,2024-11-07 01:58:55.566,2024-11-07 01:59:37.799,48.892,Heavy (larger than 136000 kg),-3.560943603515625,40.49943439031051,-3.5603790283203125,40.499507904052734,Y1,False,18L/36R,2024-11-07,1
34740f,2024-11-07 02:08:41.325,2024-11-07 02:08:47.165,2024-11-07 02:09:26.387,45.062,Heavy (larger than 136000 kg),-3.5609283447265625,40.499427795410156,-3.56036376953125,40.499507904052734,Y1,False,18L/36R,2024-11-07,2
34644e,2024-11-07 02:21:25.823,2024-11-07 02:21:30.358,2024-11-07 02:21:56.535,30.712,Medium 2 (between 34000 kg to 136000 kg),-3.560943603515625,40.49941635131836,-3.5603661970658735,40.499492580607786,Y1,False,18L/36R,2024-11-07,2
0a0018,2024-11-07 02:44:23.623,2024-11-07 02:44:29.161,2024-11-07 02:45:20.092,56.469,Medium 2 (between 34000 kg to 136000 kg),-3.560896786776456,40.49942275225106,-3.5603485107421875,40.49948501586914,Y1,False,18L/36R,2024-11-07,2
34210d,2024-11-07 03:33:32.507,2024-11-07 03:33:39.353,2024-11-07 03:34:55.534,83.027,Medium 1 (between 7000 kg and 34000 kg),-3.560943603515625,40.499427795410156,-3.5603661970658735,40.499492580607786,Y1,False,18L/36R,2024-11-07,3
