day,hour,ICAO,OnGround
01/12/2024,0,02012b,0.0
01/12/2024,0,020176,0.0
01/12/2024,0,02019d,0.0
01/12/2024,0,342352,1.0
01/12/2024,0,342353,1.0
01/12/2024,0,343650,0.0
01/12/2024,0,344115,1.0
01/12/2024,0,344213,0.0
01/12/2024,0,3444cc,0.0
01/12/2024,0,34510a,0.0
01/12/2024,0,34640e,0.0
01/12/2024,0,347519,0.0
01/12/2024,0,34754c,0.0
01/12/2024,0,34758c,0.0
01/12/2024,0,347604,0.0
01/12/2024,0,347604,1.0
01/12/2024,0,4246a3,0.0
01/12/2024,0,461f63,0.0
01/12/2024,0,461f9e,0.0
01/12/2024,0,49d2ee,0.0
01/12/2024,0,4a1922,0.0
01/12/2024,0,4ac8e4,0.0
01/12/2024,0,4cada4,0.0
01/12/2024,0,4cae67,0.0
01/12/2024,0,502d5e,0.0
01/12/2024,0,780c5b,0.0
01/12/2024,0,896614,0.0
01/12/2024,0,a27743,0.0
01/12/2024,0,aac33e,0.0
01/12/2024,0,aac33e,1.0
01/12/2024,0,e8044d,0.0
01/12/2024,0,e8044f,0.0
01/12/2024,0,e8044f,1.0
01/12/2024,0,f9291e,0.0
01/12/2024,1,020145,0.0
01/12/2024,1,02019d,0.0
01/12/2024,1,342352,1.0
01/12/2024,1,342353,1.0
01/12/2024,1,343650,0.0
01/12/2024,1,344115,1.0
01/12/2024,1,34629a,0.0
01/12/2024,1,34754c,0.0
01/12/2024,1,34758c,0.0
01/12/2024,1,347604,0.0
01/12/2024,1,4246a3,0.0
01/12/2024,1,461f9e,0.0
01/12/2024,1,780c5b,0.0
01/12/2024,1,aac33e,0.0
01/12/2024,2,0a0045,0.0
01/12/2024,2,0d09ec,0.0
01/12/2024,2,34224e,0.0
01/12/2024,2,342352,1.0
01/12/2024,2,342353,1.0
01/12/2024,2,344115,1.0
01/12/2024,2,344648,1.0
01/12/2024,2,3450d8,0.0
01/12/2024,2,345251,0.0
01/12/2024,2,34629a,0.0
01/12/2024,2,3462c9,0.0
01/12/2024,2,34644c,0.0
01/12/2024,2,347691,0.0
01/12/2024,2,39d2ae,0.0
01/12/2024,2,405bfd,0.0
01/12/2024,2,44ccc3,0.0
01/12/2024,2,44ccd8,0.0
01/12/2024,2,896614,0.0
01/12/2024,2,e49aae,0.0
01/12/2024,3,0701a1,0.0
01/12/2024,3,0a0045,0.0
01/12/2024,3,0d09ec,0.0
01/12/2024,3,342352,1.0
01/12/2024,3,342353,1.0
01/12/2024,3,344115,1.0
01/12/2024,3,344346,0.0
01/12/2024,3,3450d8,0.0
01/12/2024,3,3455c1,0.0
01/12/2024,3,346057,0.0
01/12/2024,3,346181,0.0
01/12/2024,3,3462c9,0.0
01/12/2024,3,346384,0.0
01/12/2024,3,346419,0.0
01/12/2024,3,347387,0.0
01/12/2024,3,347518,0.0
01/12/2024,3,347691,0.0
01/12/2024,3,39644d,0.0
01/12/2024,3,39cf12,0.0
01/12/2024,3,39d2ae,0.0
01/12/2024,3,3c4a02,0.0
01/12/2024,3,405bfd,0.0
01/12/2024,3,44ccc3,0.0
01/12/2024,3,896614,0.0
01/12/2024,3,aa7439,0.0
01/12/2024,3,e06588,0.0
01/12/2024,4,0701a1,0.0
01/12/2024,4,20007b,1.0
01/12/2024,4,34134e,0.0
01/12/2024,4,3420cc,1.0
01/12/2024,4,342211,1.0
01/12/2024,4,342352,1.0
01/12/2024,4,342353,1.0
01/12/2024,4,344115,1.0
01/12/2024,4,344305,0.0
01/12/2024,4,344346,0.0
01/12/2024,4,3444c4,0.0
01/12/2024,4,3455c1,0.0
01/12/2024,4,346057,0.0
01/12/2024,4,34635a,0.0
01/12/2024,4,346419,0.0
01/12/2024,4,346555,0.0
01/12/2024,4,347387,0.0
01/12/2024,4,347518,0.0
01/12/2024,4,348212,1.0
01/12/2024,4,396448,0.0
01/12/2024,4,39644d,0.0
01/12/2024,4,39cf12,0.0
01/12/2024,4,4bb183,0.0
01/12/2024,4,4cadc8,0.0
01/12/2024,4,4d23c3,0.0
01/12/2024,4,aa7439,0.0
01/12/2024,4,aad981,0.0
01/12/2024,4,e06588,0.0
01/12/2024,5,02009f,0.0
01/12/2024,5,06a0c0,0.0
01/12/2024,5,341682,0.0
01/12/2024,5,342107,1.0
01/12/2024,5,342352,1.0
01/12/2024,5,342353,1.0
01/12/2024,5,344115,1.0
01/12/2024,5,344344,0.0
01/12/2024,5,3444c4,1.0
01/12/2024,5,345215,1.0
01/12/2024,5,345313,0.0
01/12/2024,5,345615,0.0
01/12/2024,5,346083,0.0
01/12/2024,5,3461cf,0.0
01/12/2024,5,34714d,0.0
01/12/2024,5,34745a,0.0
01/12/2024,5,3474da,0.0
01/12/2024,5,34750a,0.0
01/12/2024,5,34750f,0.0
01/12/2024,5,392af5,0.0
01/12/2024,5,394c0c,0.0
01/12/2024,5,3965b0,0.0
01/12/2024,5,39cf11,0.0
01/12/2024,5,3c496a,0.0
01/12/2024,5,3c49b1,0.0
01/12/2024,5,3c6668,0.0
01/12/2024,5,484166,0.0
01/12/2024,5,4864ea,0.0
01/12/2024,5,495213,0.0
01/12/2024,5,495214,0.0
01/12/2024,5,495215,0.0
01/12/2024,5,495217,0.0
01/12/2024,5,4952ce,1.0
01/12/2024,5,4ca225,0.0
01/12/2024,5,4ca25a,0.0
01/12/2024,5,4ca2c0,0.0
01/12/2024,5,4ca4ea,0.0
01/12/2024,5,4ca4ef,0.0
01/12/2024,5,4ca4f2,0.0
01/12/2024,5,4ca566,0.0
01/12/2024,5,4ca75f,0.0
01/12/2024,5,4ca7b4,0.0
01/12/2024,5,4ca852,0.0
01/12/2024,5,4ca891,0.0
01/12/2024,5,4ca9a9,0.0
01/12/2024,5,4cad29,0.0
01/12/2024,5,4cad3d,0.0
01/12/2024,5,4cada4,0.0
01/12/2024,5,4cada6,0.0
01/12/2024,5,4cadbf,0.0
01/12/2024,5,4cae67,0.0
01/12/2024,5,4cafb4,0.0
01/12/2024,5,4d223a,0.0
01/12/2024,5,4d234a,0.0
01/12/2024,5,4d23c3,0.0
01/12/2024,5,78100a,0.0
01/12/2024,5,781c0c,0.0
01/12/2024,5,8964c1,0.0
01/12/2024,5,8964ff,0.0
01/12/2024,5,a5237f,0.0
01/12/2024,5,aa5928,0.0
01/12/2024,5,aaa6e4,0.0
01/12/2024,5,aabbd0,0.0
01/12/2024,5,e20094,0.0
01/12/2024,6,02009f,0.0
01/12/2024,6,02012c,0.0
01/12/2024,6,02019d,0.0
01/12/2024,6,06a0c0,0.0
01/12/2024,6,34134d,0.0
01/12/2024,6,341682,0.0
01/12/2024,6,342091,0.0
01/12/2024,6,3420ca,0.0
01/12/2024,6,3420cc,0.0
01/12/2024,6,342104,0.0
01/12/2024,6,342107,0.0
01/12/2024,6,342188,0.0
01/12/2024,6,342352,1.0
01/12/2024,6,342353,1.0
01/12/2024,6,3424d2,0.0
01/12/2024,6,343141,0.0
01/12/2024,6,343194,0.0
01/12/2024,6,34324e,0.0
01/12/2024,6,34368c,0.0
01/12/2024,6,343694,0.0
01/12/2024,6,343694,1.0
01/12/2024,6,344115,1.0
01/12/2024,6,344195,0.0
01/12/2024,6,344197,0.0
01/12/2024,6,344217,0.0
01/12/2024,6,344218,0.0
01/12/2024,6,344304,0.0
01/12/2024,6,344344,0.0
01/12/2024,6,344409,0.0
01/12/2024,6,344446,0.0
01/12/2024,6,344498,0.0
01/12/2024,6,3444da,0.0
01/12/2024,6,344501,0.0
01/12/2024,6,344502,0.0
01/12/2024,6,34454b,0.0
01/12/2024,6,3445d4,0.0
01/12/2024,6,344646,0.0
01/12/2024,6,345108,0.0
01/12/2024,6,3451d3,0.0
01/12/2024,6,34520e,0.0
01/12/2024,6,345215,0.0
01/12/2024,6,3452c7,0.0
01/12/2024,6,34530e,0.0
01/12/2024,6,345313,0.0
01/12/2024,6,345398,0.0
01/12/2024,6,3453c1,0.0
01/12/2024,6,3453cc,0.0
01/12/2024,6,345543,0.0
01/12/2024,6,345597,0.0
01/12/2024,6,34560d,0.0
01/12/2024,6,345615,0.0
01/12/2024,6,345643,0.0
01/12/2024,6,345659,0.0
01/12/2024,6,345691,0.0
01/12/2024,6,345698,0.0
01/12/2024,6,34604b,0.0
01/12/2024,6,34604d,0.0
01/12/2024,6,346082,0.0
01/12/2024,6,346111,0.0
01/12/2024,6,346147,0.0
01/12/2024,6,346155,0.0
01/12/2024,6,3461cf,0.0
01/12/2024,6,346204,0.0
01/12/2024,6,346303,0.0
01/12/2024,6,34644c,0.0
