ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,fecha_despegue,hora_despegue
3C5434,2024-12-03 08:17:54.070,2024-12-03 08:28:40.767,646.697,High vortex aircraft,2024-12-03,8
3C5434,2024-12-03 21:14:30.880,2024-12-03 21:14:49.599,18.719,High vortex aircraft,2024-12-03,21
44046D,2024-12-01 19:13:45.545,2024-12-01 19:31:45.660,1080.115,High vortex aircraft,2024-12-01,19
4952CE,2024-12-01 06:55:32.575,2024-12-01 06:55:53.525,20.95,High vortex aircraft,2024-12-01,6
E8043B,2024-12-02 23:45:55.121,2024-12-02 23:46:35.072,39.951,High vortex aircraft,2024-12-02,23
345207,2024-12-03 17:20:04.435,2024-12-03 17:28:13.222,488.787,High vortex aircraft,2024-12-03,17
4BC84F,2024-12-01 11:59:47.904,2024-12-01 12:16:52.229,1024.325,High vortex aircraft,2024-12-01,12
4BC84F,2024-12-06 11:59:34.164,2024-12-06 12:15:24.300,950.136,High vortex aircraft,2024-12-06,12
4BC84F,2024-12-07 12:21:20.344,2024-12-07 12:37:49.044,988.7,High vortex aircraft,2024-12-07,12
8963F3,2024-12-04 13:58:00.511,2024-12-04 13:58:29.051,28.54,High vortex aircraft,2024-12-04,13
AA44AC,2024-12-02 10:13:47.202,2024-12-02 10:14:25.499,38.297,High vortex aircraft,2024-12-02,10
AA44AC,2024-12-05 12:00:19.253,2024-12-05 12:00:43.777,24.524,High vortex aircraft,2024-12-05,12
347297,2024-12-03 12:25:28.317,2024-12-03 12:25:54.622,26.305,High vortex aircraft,2024-12-03,12
347297,2024-12-05 09:53:15.852,2024-12-05 09:53:20.400,4.548,High vortex aircraft,2024-12-05,9
347297,2024-12-05 12:26:50.875,2024-12-05 12:27:18.099,27.224,High vortex aircraft,2024-12-05,12
347297,2024-12-07 14:33:24.064,2024-12-07 14:33:43.898,19.834,High vortex aircraft,2024-12-07,14
3473CF,2024-12-04 06:01:19.375,2024-12-04 06:01:51.154,31.779,Heavy (larger than 136000 kg),2024-12-04,6
3473CF,2024-12-05 16:18:40.358,2024-12-05 16:19:02.586,22.228,High vortex aircraft,2024-12-05,16
347505,2024-12-06 13:49:26.738,2024-12-06 13:49:45.454,18.716,High vortex aircraft,2024-12-06,13
440237,2024-12-01 20:09:49.185,2024-12-01 20:10:18.148,28.963,High vortex aircraft,2024-12-01,20
440237,2024-12-02 13:52:00.695,2024-12-02 13:52:23.080,22.385,Heavy (larger than 136000 kg),2024-12-02,13
48AF10,2024-12-01 14:53:29.762,2024-12-01 15:11:21.835,1072.073,High vortex aircraft,2024-12-01,15
