ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,lat,lon,holding_point,fecha_despegue,hora_despegue,runway
3420ca,2024-12-03 15:21:22.843,2024-12-03 15:23:03.503,100.66,Medium 2 (between 34000 kg to 136000 kg),40.50596237182617,-3.559234619140625,Y2,2024-12-03,15,18L/36R
3420ca,2024-12-04 09:24:55.891,2024-12-04 09:26:36.177,100.286,Medium 2 (between 34000 kg to 136000 kg),40.504462031994834,-3.5592113841663706,Y1,2024-12-04,9,18L/36R
3420ca,2024-12-04 16:16:10.860,2024-12-04 16:17:46.200,95.34,Medium 2 (between 34000 kg to 136000 kg),40.49863815307617,-3.57464599609375,Z4,2024-12-04,16,18R/36L
3420ca,2024-12-07 20:14:55.509,2024-12-07 20:16:48.101,112.592,Medium 2 (between 34000 kg to 136000 kg),40.50461332676774,-3.5592113841663706,Y1,2024-12-07,20,18L/36R
3444c3,2024-12-02 14:42:10.407,2024-12-02 14:43:51.726,101.319,Medium 2 (between 34000 kg to 136000 kg),40.505823684951004,-3.5592269897460938,Y1,2024-12-02,14,18L/36R
3444c3,2024-12-03 14:23:19.228,2024-12-03 14:26:00.753,161.525,Medium 2 (between 34000 kg to 136000 kg),40.4980843754138,-3.574676513671875,Z2,2024-12-03,14,18R/36L
3444c3,2024-12-04 14:42:42.270,2024-12-04 14:44:49.467,127.197,Medium 2 (between 34000 kg to 136000 kg),40.49787489034362,-3.574660908092152,Z2,2024-12-04,14,18R/36L
3444c3,2024-12-05 12:22:49.610,2024-12-05 12:24:23.116,93.506,Medium 2 (between 34000 kg to 136000 kg),40.50736999511719,-3.5592041015625,Y2,2024-12-05,12,18L/36R
346188,2024-12-01 09:04:54.066,2024-12-01 09:06:10.519,76.453,Medium 2 (between 34000 kg to 136000 kg),40.50552749633789,-3.55938720703125,Y1,2024-12-01,9,18L/36R
346188,2024-12-07 22:02:14.048,2024-12-07 22:04:48.160,154.112,Medium 2 (between 34000 kg to 136000 kg),40.49652099609375,-3.5748138427734375,Z4,2024-12-07,22,18R/36L
347297,2024-12-03 12:24:17.333,2024-12-03 12:25:54.622,97.289,Heavy (larger than 136000 kg),40.498363688840705,-3.574614091352983,Z3,2024-12-03,12,18R/36L
34754d,2024-12-01 16:15:18.840,2024-12-01 16:17:00.380,101.54,Heavy (larger than 136000 kg),40.497825622558594,-3.57464599609375,Z1,2024-12-01,16,18R/36L
34754d,2024-12-02 17:21:59.621,2024-12-05 00:11:10.309,197350.688,Heavy (larger than 136000 kg),40.497013092041016,-3.5746307373046875,KA6,2024-12-05,0,18R/36L
344487,2024-12-04 14:17:15.057,2024-12-04 14:20:47.616,212.559,Medium 2 (between 34000 kg to 136000 kg),40.498409271240234,-3.5746612548828125,Z2,2024-12-04,14,18R/36L
344487,2024-12-05 05:46:24.087,2024-12-05 05:47:57.540,93.453,Medium 2 (between 34000 kg to 136000 kg),40.4980843754138,-3.574629696932706,Z2,2024-12-05,5,18R/36L
4ca75f,2024-12-01 05:00:43.211,2024-12-01 05:02:49.620,126.409,Medium 2 (between 34000 kg to 136000 kg),40.49853825973252,-3.5746453025124287,Z4,2024-12-01,5,18R/36L
4ca75f,2024-12-02 05:19:36.004,2024-12-02 05:21:14.017,98.013,Medium 2 (between 34000 kg to 136000 kg),40.49794006347656,-3.57464599609375,Z4,2024-12-02,5,18R/36L
344346,2024-12-03 11:07:58.924,2024-12-03 11:10:20.235,141.311,Heavy (larger than 136000 kg),40.49860808808925,-3.5746453025124287,Z1,2024-12-03,11,18R/36L
344346,2024-12-05 23:24:34.919,2024-12-05 23:27:19.986,165.067,Heavy (larger than 136000 kg),40.498043060302734,-3.5746307373046875,Z1,2024-12-05,23,18R/36L
346390,2024-12-05 21:22:10.028,2024-12-05 21:24:37.160,147.132,Heavy (larger than 136000 kg),40.50608825683594,-3.5592193603515625,Y2,2024-12-05,21,18L/36R
347306,2024-12-01 10:58:33.183,2024-12-01 11:00:19.254,106.071,Medium 2 (between 34000 kg to 136000 kg),40.49788284301758,-3.57464599609375,Z2,2024-12-01,11,18R/36L
347306,2024-12-02 11:30:57.844,2024-12-02 11:32:40.742,102.898,Medium 2 (between 34000 kg to 136000 kg),40.480751037597656,-3.57177734375,LB,2024-12-02,11,14R/32L
347306,2024-12-02 18:57:15.438,2024-12-02 18:58:53.399,97.961,Medium 2 (between 34000 kg to 136000 kg),40.497779846191406,-3.5746612548828125,Z4,2024-12-02,18,18R/36L
347306,2024-12-05 14:49:40.420,2024-12-05 14:52:38.523,178.103,Medium 2 (between 34000 kg to 136000 kg),40.50655746459961,-3.559234619140625,Y1,2024-12-05,14,18L/36R
347306,2024-12-06 14:38:50.942,2024-12-06 14:40:47.217,116.275,Medium 2 (between 34000 kg to 136000 kg),40.50640869140625,-3.5592498779296875,Y1,2024-12-06,14,18L/36R
39de48,2024-12-01 08:35:53.801,2024-12-01 08:37:55.362,121.561,Medium 2 (between 34000 kg to 136000 kg),40.505521095405186,-3.5592269897460938,Y2,2024-12-01,8,18L/36R
407534,2024-12-03 12:15:09.458,2024-12-03 12:17:55.389,165.931,Medium 2 (between 34000 kg to 136000 kg),40.49767704333289,-3.5746453025124287,Z3,2024-12-03,12,18R/36L
345615,2024-12-01 11:41:00.494,2024-12-01 11:43:17.055,136.561,Medium 2 (between 34000 kg to 136000 kg),40.49850082397461,-3.57464599609375,Z4,2024-12-01,11,18R/36L
345615,2024-12-02 15:12:33.227,2024-12-02 15:14:00.261,87.034,Medium 2 (between 34000 kg to 136000 kg),40.50612258911133,-3.559234619140625,Y1,2024-12-02,15,18L/36R
345615,2024-12-02 18:55:59.730,2024-12-02 18:57:30.146,90.416,Medium 2 (between 34000 kg to 136000 kg),40.49877102092161,-3.5746453025124287,Z4,2024-12-02,18,18R/36L
345615,2024-12-04 10:52:29.244,2024-12-04 10:55:14.371,165.127,Medium 2 (between 34000 kg to 136000 kg),40.49785161422471,-3.5746453025124287,Z4,2024-12-04,10,18R/36L
347307,2024-12-02 06:25:47.918,2024-12-02 06:27:40.599,112.681,Medium 2 (between 34000 kg to 136000 kg),40.49801454705707,-3.574629696932706,Z2,2024-12-02,6,18R/36L
347307,2024-12-03 05:49:22.140,2024-12-03 05:51:30.709,128.569,Medium 2 (between 34000 kg to 136000 kg),40.498643002267606,-3.574660908092152,Z4,2024-12-03,5,18R/36L
347307,2024-12-03 14:13:31.714,2024-12-03 14:15:09.145,97.431,Medium 2 (between 34000 kg to 136000 kg),40.4997951701536,-3.574676513671875,Z4,2024-12-03,14,18R/36L
347307,2024-12-03 18:14:45.846,2024-12-03 18:17:01.969,136.123,Medium 2 (between 34000 kg to 136000 kg),40.498363688840705,-3.57459848577326,Z2,2024-12-03,18,18R/36L
347307,2024-12-04 05:42:35.052,2024-12-04 05:44:55.484,140.432,Medium 2 (between 34000 kg to 136000 kg),40.49811928959216,-3.5746453025124287,Z2,2024-12-04,5,18R/36L
347307,2024-12-05 06:32:43.704,2024-12-05 06:34:17.475,93.771,Medium 2 (between 34000 kg to 136000 kg),40.50563049316406,-3.559234619140625,Y1,2024-12-05,6,18L/36R
347307,2024-12-06 06:26:24.076,2024-12-06 06:27:46.594,82.518,Medium 2 (between 34000 kg to 136000 kg),40.50571894241592,-3.5592269897460938,Y1,2024-12-06,6,18L/36R
347307,2024-12-07 14:39:55.801,2024-12-07 14:41:47.136,111.335,Medium 2 (between 34000 kg to 136000 kg),40.505859375,-3.559234619140625,Y1,2024-12-07,14,18L/36R
34764a,2024-12-03 12:06:43.502,2024-12-03 12:09:06.051,142.549,Heavy (larger than 136000 kg),40.49765396118164,-3.57464599609375,Z1,2024-12-03,12,18R/36L
34764a,2024-12-05 23:23:00.940,2024-12-05 23:24:37.350,96.41,Heavy (larger than 136000 kg),40.49795635675979,-3.5746453025124287,Z3,2024-12-05,23,18R/36L
34764a,2024-12-07 08:14:41.918,2024-12-07 08:16:16.356,94.438,Heavy (larger than 136000 kg),40.497537386619435,-3.5746453025124287,Z3,2024-12-07,8,18R/36L
344345,2024-12-05 11:23:14.763,2024-12-05 11:24:52.156,97.393,Heavy (larger than 136000 kg),40.49831771850586,-3.5746612548828125,Z3,2024-12-05,11,18R/36L
344345,2024-12-06 15:52:20.155,2024-12-06 15:53:51.311,91.156,Heavy (larger than 136000 kg),40.498775482177734,-3.57464599609375,Z3,2024-12-06,15,18R/36L
345109,2024-12-04 11:55:43.944,2024-12-04 11:57:20.288,96.344,Heavy (larger than 136000 kg),40.49763049109507,-3.574629696932706,Z3,2024-12-04,11,18R/36L
345109,2024-12-05 15:54:19.801,2024-12-05 15:56:17.618,117.817,Heavy (larger than 136000 kg),40.498945591813424,-3.574660908092152,Z3,2024-12-05,15,18R/36L
347312,2024-12-02 15:41:17.667,2024-12-02 15:42:54.335,96.668,Medium 2 (between 34000 kg to 136000 kg),40.506207740913,-3.5592269897460938,Y1,2024-12-02,15,18L/36R
347312,2024-12-03 14:17:12.661,2024-12-03 14:18:43.988,91.327,Medium 2 (between 34000 kg to 136000 kg),40.506351470947266,-3.5592498779296875,Y1,2024-12-03,14,18L/36R
347312,2024-12-05 06:20:17.444,2024-12-05 06:22:08.095,110.651,Medium 2 (between 34000 kg to 136000 kg),40.498107651532706,-3.5746453025124287,Z2,2024-12-05,6,18R/36L
347312,2024-12-06 15:40:05.822,2024-12-06 15:42:46.219,160.397,Medium 2 (between 34000 kg to 136000 kg),40.49934128583487,-3.574660908092152,Z4,2024-12-06,15,18R/36L
347312,2024-12-07 14:26:20.764,2024-12-07 14:28:49.253,148.489,Medium 2 (between 34000 kg to 136000 kg),40.496612548828125,-3.57464599609375,Z2,2024-12-07,14,18R/36L
484160,2024-12-04 10:07:44.465,2024-12-04 10:09:41.338,116.873,Medium 2 (between 34000 kg to 136000 kg),40.50557928570246,-3.5592113841663706,Y1,2024-12-04,10,18L/36R
