icao,hour,day,on_ground_min,on_ground_max,ground,flying
343694,6,3,0.0,0.0,1.0,0.0
4CA4EC,6,3,0.0,0.0,1.0,0.0
34745A,6,3,0.0,0.0,1.0,0.0
344156,6,3,0.0,0.0,1.0,0.0
34745A,7,3,0.0,0.0,1.0,0.0
3472CC,7,3,0.0,0.0,1.0,0.0
AAD981,7,3,0.0,0.0,1.0,0.0
4CA808,7,3,0.0,0.0,1.0,0.0
34134D,7,3,0.0,0.0,1.0,0.0
8940D5,7,3,0.0,0.0,1.0,0.0
4CAE52,7,3,0.0,0.0,1.0,0.0
3C6466,8,3,0.0,0.0,1.0,0.0
344217,8,3,0.0,0.0,1.0,0.0
461FA1,8,3,0.0,0.0,1.0,0.0
344307,9,3,0.0,0.0,1.0,0.0
342352,9,3,1.0,1.0,0.0,1.0
3452C3,9,3,0.0,0.0,1.0,0.0
020132,9,3,0.0,0.0,1.0,0.0
3423C3,9,3,0.0,0.0,1.0,0.0
34620D,9,3,0.0,0.0,1.0,0.0
407F0E,9,3,0.0,0.0,1.0,0.0
39BDA9,9,3,0.0,0.0,1.0,0.0
3442C4,9,3,0.0,0.0,1.0,0.0
342210,10,3,0.0,0.0,1.0,0.0
342353,10,3,1.0,1.0,0.0,1.0
48C223,10,3,0.0,0.0,1.0,0.0
4D2224,18,1,0.0,0.0,1.0,0.0
45AB53,18,1,0.0,0.0,1.0,0.0
020124,18,1,0.0,0.0,1.0,0.0
4CA73B,18,1,0.0,0.0,1.0,0.0
02010F,19,1,0.0,0.0,1.0,0.0
347307,19,1,0.0,0.0,1.0,0.0
471F3D,19,1,0.0,0.0,1.0,0.0
344481,19,1,0.0,0.0,1.0,0.0
4BB84E,19,1,0.0,0.0,1.0,0.0
346147,19,1,0.0,0.0,1.0,0.0
4CA4F8,20,1,0.0,0.0,1.0,0.0
4D22FF,20,1,0.0,0.0,1.0,0.0
440D4C,20,1,0.0,0.0,1.0,0.0
345398,20,1,0.0,0.0,1.0,0.0
34750F,20,1,0.0,0.0,1.0,0.0
3451D8,20,1,0.0,0.0,1.0,0.0
738054,20,1,0.0,0.0,1.0,0.0
4CAC24,20,1,0.0,0.0,1.0,0.0
4866EE,20,1,0.0,0.0,1.0,0.0
344115,3,2,1.0,1.0,0.0,1.0
348212,4,2,0.0,0.0,1.0,0.0
89653A,5,2,0.0,0.0,1.0,0.0
347219,6,2,0.0,0.0,1.0,0.0
A1405F,6,2,0.0,0.0,1.0,0.0
4CADE0,7,2,0.0,0.0,1.0,0.0
341395,7,2,0.0,1.0,1.0,1.0
4B1619,8,2,0.0,0.0,1.0,0.0
