ts_kafka,velocity,lat,lon,icao,ground,direccion
1733030745974,,,,000000,,
1733032305075,,,,000000,,
1733032535230,476.0,38.59423828125,-5.0256480341372285,02009f,0.0,
1733032836180,474.0,39.21418762207031,-4.736421004585598,02009f,0.0,
1733033137129,469.0,39.82640075683594,-4.41375732421875,02009f,0.0,
1733033437336,470.0,40.41819763183594,-4.06243896484375,02009f,0.0,
1733033737623,470.0,41.0064697265625,-3.6960879239169033,02009f,0.0,
1733034036075,478.0,41.5960693359375,-3.3226151899857954,02009f,0.0,
1733034337655,481.0,42.150054931640625,-2.964997725053267,02009f,0.0,
1733034636137,475.0,42.69309997558594,-2.6070681485262783,02009f,0.0,
1733034858205,478.0,,,02009f,,
1733036540549,427.0,42.40764553264036,-1.9204995798510176,02012c,0.0,
1733036844340,424.0,41.86317443847656,-2.2802248868075283,02012c,0.0,
1733037144311,429.0,41.32228088378906,-2.59649658203125,02012c,0.0,
1733037444666,433.0,40.73643493652344,-2.758544921875,02012c,0.0,
1733037599161,429.0,40.43220132084216,-2.8415263782848013,02012c,0.0,1.8370661969161497
1733018266214,,38.65919494628906,-0.79376220703125,020145,0.0,
1733011728862,417.0,42.225860595703125,-0.7340864701704546,020176,0.0,
1733012029284,418.0,41.72858803959216,-1.1364462209302326,020176,0.0,
1733012329788,424.0,41.22862243652344,-1.533447265625,020176,0.0,
1733012630254,423.0,40.721989001257946,-1.9285999644886362,020176,0.0,
1733012930567,419.0,40.21769714355469,-2.31494140625,020176,0.0,
1733013231036,418.0,39.71269226074219,-2.695352305536685,020176,0.0,
1733013531245,414.0,39.20764470504502,-3.06048583984375,020176,0.0,
1733013831437,415.0,38.7132133871822,-3.37933349609375,020176,0.0,
1733013832751,,,,020176,0.0,
1733030886945,460.0,40.79838122351695,-1.0834017666903408,06a0c0,0.0,
1733031187138,463.0,40.62399654065148,-1.8950167569247158,06a0c0,0.0,
1733031487430,469.0,40.44145202636719,-2.7137451171875,06a0c0,0.0,
1733031787893,470.0,40.25230407714844,-3.5308837890625,06a0c0,0.0,
1733032087727,468.0,40.057269597457626,-4.344218860973012,06a0c0,0.0,
1733032387702,464.0,39.85905016882945,-5.14324951171875,06a0c0,0.0,
1733032687903,460.0,39.66032409667969,-5.918167777683424,06a0c0,0.0,
1733032987655,436.0,39.40828485003972,-6.6639404296875,06a0c0,0.0,
1733033191847,413.0,39.239501953125,-7.1254099970278535,06a0c0,0.0,2.7908997232590003
1733025459693,492.0,39.32569885253906,-7.1526966924252715,0701a1,0.0,
1733025759713,496.0,39.9364013671875,-6.7442626953125,0701a1,0.0,
1733026059760,491.0,40.55253885560116,-6.350909146395597,0701a1,0.0,
1733026360034,498.0,41.176245737884,-5.981618707830256,0701a1,0.0,
