ts_kafka,velocity,lat,lon,icao,ground
1733030745974.0,,,,000000,
1733032235573.0,476.0,38.59794616699219,-5.02391649329144,02009F,0.0
1733032536254.0,474.0,39.21825861526748,-4.73443603515625,02009F,0.0
1733032837199.0,469.0,39.827580856064614,-4.41314697265625,02009F,0.0
1733033137544.0,470.0,40.41902160644531,-4.06195068359375,02009F,0.0
1733033437640.0,470.0,41.0064697265625,-3.6960879239169033,02009F,0.0
1733033737826.0,478.0,41.601640087063025,-3.3190846997638084,02009F,0.0
1733034038228.0,481.0,42.150054931640625,-2.964997725053267,02009F,0.0
1733034338485.0,475.0,42.69309997558594,-2.6070681485262783,02009F,0.0
1733011200114.0,431.0,39.4288330078125,-3.054856010105299,02012B,0.0
1733011500258.0,427.0,38.88014971199682,-3.27880859375,02012B,0.0
1733011863173.0,424.0,38.64077810513771,-3.393310546875,02012B,0.0
1733036241219.0,427.0,42.40764553264036,-1.9204995798510176,02012C,0.0
1733036544458.0,424.0,41.862286066604874,-2.2807489439498547,02012C,0.0
1733036844504.0,429.0,41.32228088378906,-2.59649658203125,02012C,0.0
1733037144839.0,433.0,40.73643493652344,-2.758544921875,02012C,0.0
1733011429366.0,417.0,42.224136611162606,-0.7355091183684593,020176,0.0
1733011729970.0,418.0,41.72858803959216,-1.1364462209302326,020176,0.0
1733012030193.0,424.0,41.227872169623936,-1.534028486772017,020176,0.0
1733012330291.0,423.0,40.72045277740995,-1.9297859885475852,020176,0.0
1733012630656.0,419.0,40.21600341796875,-2.31622314453125,020176,0.0
1733012931075.0,418.0,39.71186828613281,-2.6959493885869565,020176,0.0
1733013231333.0,414.0,39.20764470504502,-3.06048583984375,020176,0.0
1733013531551.0,415.0,38.7132133871822,-3.37933349609375,020176,0.0
1733036533820.0,461.0,38.819352489406775,-4.93798828125,02019C,0.0
1733036834683.0,460.0,39.40916934255826,-4.62603759765625,02019C,0.0
1733037134694.0,458.0,39.99642582262977,-4.302957708185369,02019C,0.0
1733013497239.0,432.0,41.61825923596398,-2.6972713026889537,02019D,0.0
1733013797626.0,431.0,41.104322530455505,-3.1020771373401987,02019D,0.0
1733014097665.0,431.0,40.59955661579714,-3.4920917857776987,02019D,0.0
1733014397808.0,415.0,40.073562880693856,-3.8915946266867896,02019D,0.0
1733014698016.0,414.0,39.572845458984375,-4.265203061311142,02019D,0.0
1733014998280.0,412.0,39.072784423828125,-4.632050887398098,02019D,0.0
1733015298428.0,416.0,38.52626037597656,-4.867600150730299,02019D,0.0
1733015598877.0,413.0,38.23054504394531,-4.991065492021277,02019D,0.0
1733034385547.0,455.0,38.75770568847656,-4.964924687924593,02019D,0.0
1733034686928.0,455.0,39.3462307170286,-4.6668701171875,02019D,0.0
1733034987297.0,451.0,39.9290771484375,-4.3590087890625,02019D,0.0
1733035287451.0,448.0,40.49299621582031,-4.016845703125,02019D,0.0
1733035587504.0,445.0,41.040985107421875,-3.6292724609375,02019D,0.0
1733035887845.0,448.0,41.594970703125,-3.191778009588068,02019D,0.0
1733036200446.0,450.0,42.12977522510593,-2.7607620594113373,02019D,0.0
1733036502255.0,436.0,42.653778076171875,-2.330350008877841,02019D,0.0
1733030587240.0,460.0,40.79838122351695,-1.0834017666903408,06A0C0,0.0
1733030887757.0,463.0,40.62399654065148,-1.8950167569247158,06A0C0,0.0
1733031187849.0,469.0,40.44113935050318,-2.715121182528409,06A0C0,0.0
1733031487942.0,470.0,40.25230407714844,-3.5308837890625,06A0C0,0.0
1733031787994.0,468.0,40.05703683626854,-4.345280040394176,06A0C0,0.0
1733032088031.0,464.0,39.85844421386719,-5.14560201893682,06A0C0,0.0
1733032388103.0,460.0,39.65679931640625,-5.931721562924593,06A0C0,0.0
1733032688513.0,436.0,39.40539861129502,-6.6719970703125,06A0C0,0.0
1733025159956.0,492.0,39.32569885253906,-7.1526966924252715,0701A1,0.0
1733025460097.0,496.0,39.93846828654661,-6.74285888671875,0701A1,0.0
1733025760121.0,491.0,40.55253885560116,-6.350909146395597,0701A1,0.0
1733026060168.0,498.0,41.176245737884,-5.981618707830256,0701A1,0.0
1733026360235.0,498.0,41.80714416503906,-5.600031072443182,0701A1,0.0
1733026660236.0,492.0,42.43455505371094,-5.2126381613991475,0701A1,0.0
1733019701563.0,475.0,41.51454162597656,-5.288668545809659,0A0045,0.0
1733020001951.0,471.0,41.109815694518005,-4.597591053355824,0A0045,0.0
1733020302380.0,468.0,40.70649719238281,-3.924072265625,0A0045,0.0
1733020602867.0,474.0,40.29598947298729,-3.253326416015625,0A0045,0.0
1733020903342.0,479.0,39.87864866095074,-2.5858154296875,0A0045,0.0
1733021203554.0,479.0,39.54249572753906,-2.0585035241168477,0A0045,0.0
1733021577428.0,,,,0A0045,0.0
1733021767173.0,466.0,41.38645935058594,-5.60400390625,0D09EC,0.0
1733022067329.0,487.0,40.93574523925781,-4.9755859375,0D09EC,0.0
1733022367638.0,445.0,40.57078733282574,-4.285104924982244,0D09EC,0.0
1733022667795.0,309.0,40.28369968220339,-3.6595084450461646,0D09EC,0.0
1733022967796.0,171.0,40.39833068847656,-3.4599609375,0D09EC,0.0
1733023268000.0,109.0,40.483245849609375,-3.54595947265625,0D09EC,0.0
1733023569776.0,,,,0D09EC,
1733023870459.0,,,,0D09EC,
1733028534191.0,,,,341057,
1733028835183.0,,,,341057,
1733029135691.0,,,,341057,
1733029437751.0,,,,341057,
1733029738768.0,,,,341057,
1733030040019.0,,,,341057,
1733030341563.0,,,,341057,
1733030643334.0,,,,341057,
1733030947422.0,,,,341057,
1733031252232.0,,,,341057,
1733031552811.0,,,,341057,
1733031852887.0,,,,341057,
1733032152949.0,,,,341057,
1733032454054.0,,,,341057,
1733032754369.0,,,,341057,
1733033054847.0,,,,341057,
1733033355038.0,,,,341057,
1733033655724.0,,,,341057,
1733036230471.0,,,,341057,
1733036532092.0,,,,341057,
1733036931818.0,,,,341057,
1733028259291.0,,,,341058,
1733028561831.0,,,,341058,
1733028863130.0,,,,341058,
1733029163783.0,,,,341058,
1733029464054.0,,,,341058,
1733029764987.0,,,,341058,
1733030066572.0,,,,341058,
1733030374298.0,,,,341058,
1733030677061.0,,,,341058,
1733030981787.0,,,,341058,
1733031282257.0,,,,341058,
1733031583961.0,,,,341058,
1733031887704.0,,,,341058,
1733032190915.0,,,,341058,
1733032491374.0,,,,341058,
1733032794240.0,,,,341058,
1733033095066.0,,,,341058,
1733033397646.0,,,,341058,
1733033699098.0,,,,341058,
1733033999172.0,,,,341058,
1733034300776.0,,,,341058,
1733034603678.0,,,,341058,
1733034904936.0,,,,341058,
1733035204964.0,,,,341058,
1733035505338.0,,,,341058,
1733035806670.0,,,,341058,
1733036107785.0,,,,341058,
1733036411590.0,,,,341058,
1733036712383.0,,,,341058,
1733037015004.0,,,,341058,
1733029906338.0,,,,341085,
1733030206476.0,,,,341085,
1733030508426.0,,,,341085,
1733030809429.0,,,,341085,
1733031113104.0,,,,341085,
1733031483770.0,,,,341085,
1733031795016.0,,,,341085,
1733032165299.0,,,,341085,
1733032503613.0,,,,341085,
1733032933043.0,,,,341085,
1733033236484.0,,,,341085,
1733033541440.0,,,,341085,
1733033845111.0,,,,341085,
1733034150433.0,,,,341085,
1733034454573.0,,,,341085,
1733034767441.0,,,,341085,
1733035071319.0,,,,341085,
1733035374006.0,,,,341085,
1733035674896.0,,,,341085,
1733035977788.0,,,,341085,
1733036278679.0,,,,341085,
1733036580889.0,,,,341085,
1733036903758.0,,,,341085,
1733037234938.0,,,,341085,
1733011200114.0,,,,34108F,
1733011501480.0,,,,34108F,
1733011802796.0,,,,34108F,
1733012104218.0,,,,34108F,
1733012406223.0,,,,34108F,
1733012706793.0,,,,34108F,
1733013010559.0,,,,34108F,
1733013311507.0,,,,34108F,
1733013612151.0,,,,34108F,
1733013912715.0,,,,34108F,
1733014213144.0,,,,34108F,
1733014516602.0,,,,34108F,
1733014817579.0,,,,34108F,
1733015119903.0,,,,34108F,
1733015420071.0,,,,34108F,
1733015720505.0,,,,34108F,
1733016023942.0,,,,34108F,
1733016327777.0,,,,34108F,
1733016627842.0,,,,34108F,
1733016930580.0,,,,34108F,
1733017232754.0,,,,34108F,
1733017533637.0,,,,34108F,
1733017833961.0,,,,34108F,
1733018134466.0,,,,34108F,
1733018434875.0,,,,34108F,
1733018735214.0,,,,34108F,
1733019039118.0,,,,34108F,
1733019339368.0,,,,34108F,
1733019640973.0,,,,34108F,
1733019941481.0,,,,34108F,
1733020244417.0,,,,34108F,
1733020549435.0,,,,34108F,
1733020849934.0,,,,34108F,
1733021151035.0,,,,34108F,
1733021453935.0,,,,34108F,
1733021754705.0,,,,34108F,
1733022055580.0,,,,34108F,
1733022356290.0,,,,34108F,
1733022657150.0,,,,34108F,
1733022958139.0,,,,34108F,
1733023261013.0,,,,34108F,
1733023562281.0,,,,34108F,
1733023863277.0,,,,34108F,
1733024164491.0,,,,34108F,
1733024466357.0,,,,34108F,
1733024766528.0,,,,34108F,
1733025068732.0,,,,34108F,
1733025369691.0,,,,34108F,
1733025674048.0,,,,34108F,
1733025978433.0,,,,34108F,
1733026279297.0,,,,34108F,
1733026581415.0,,,,34108F,
1733026883945.0,,,,34108F,
1733027184005.0,,,,34108F,
1733027484381.0,,,,34108F,
1733027787940.0,,,,34108F,
1733028089827.0,,,,34108F,
1733028391071.0,,,,34108F,
1733028694054.0,,,,34108F,
1733028994359.0,,,,34108F,
1733029294689.0,,,,34108F,
1733029594776.0,,,,34108F,
1733029894991.0,,,,34108F,
1733030202414.0,,,,34108F,
1733030507000.0,,,,34108F,
1733030809835.0,,,,34108F,
1733031110354.0,,,,34108F,
1733031410502.0,,,,34108F,
1733031711614.0,,,,34108F,
1733032012683.0,,,,34108F,
1733032313241.0,,,,34108F,
1733032617371.0,,,,34108F,
1733032917391.0,,,,34108F,
1733033218111.0,,,,34108F,
1733033519559.0,,,,34108F,
1733033819640.0,,,,34108F,
1733034121201.0,,,,34108F,
1733034423934.0,,,,34108F,
1733034725390.0,,,,34108F,
1733035027057.0,,,,34108F,
1733035327298.0,,,,34108F,
1733035630282.0,,,,34108F,
1733035930772.0,,,,34108F,
1733036231306.0,,,,34108F,
1733036531441.0,,,,34108F,
1733036833955.0,,,,34108F,
1733037136260.0,,,,34108F,
1733011200320.0,,,,341099,
1733011501480.0,,,,341099,
1733011802391.0,,,,341099,
1733012105230.0,,,,341099,
1733012405311.0,,,,341099,
1733012705576.0,,,,341099,
1733013380902.0,,,,341099,
1733013961037.0,,,,341099,
1733016027983.0,,,,341099,
1733016328280.0,,,,341099,
1733016628347.0,,,,341099,
1733017014515.0,,,,341099,
1733017314654.0,,,,341099,
1733017712981.0,,,,341099,
1733018013117.0,,,,341099,
1733018313200.0,,,,341099,
1733018614101.0,,,,341099,
1733018915505.0,,,,341099,
1733019218112.0,,,,341099,
1733019519074.0,,,,341099,
1733019822446.0,,,,341099,
1733020123349.0,,,,341099,
1733020426937.0,,,,341099,
1733020730829.0,,,,341099,
1733021031606.0,,,,341099,
1733021331925.0,,,,341099,
1733021632006.0,,,,341099,
1733033936664.0,,,,341099,
1733021439968.0,,,,341216,
1733021740531.0,,,,341216,
1733022520047.0,,,,341216,
1733022830924.0,,,,341216,
1733023155681.0,,,,341216,
1733023465443.0,,,,341216,
1733023955440.0,,,,341216,
1733024500262.0,,,,341216,
1733024987588.0,,,,341216,
1733025618675.0,,,,341216,
1733025930903.0,,,,341216,
1733026472350.0,,,,341216,
1733026784431.0,,,,341216,
1733027094785.0,,,,341216,
1733027398307.0,,,,341216,
1733027702327.0,,,,341216,
1733028003478.0,,,,341216,
1733028303553.0,,,,341216,
1733028604604.0,,,,341216,
1733028909192.0,,,,341216,
1733029209859.0,,,,341216,
1733029516763.0,,,,341216,
1733029819150.0,,,,341216,
1733030119351.0,,,,341216,
1733030419388.0,,,,341216,
1733030723682.0,,,,341216,
1733031027533.0,,,,341216,
1733031328073.0,,,,341216,
1733031698981.0,,,,341216,
1733031999837.0,,,,341216,
1733032300389.0,,,,341216,
1733032605842.0,,,,341216,
1733032929881.0,,,,341216,
1733033236484.0,,,,341216,
1733033543284.0,,,,341216,
1733011768963.0,,,,341241,
1733013394364.0,,,,341241,
1733027231248.0,,,,341241,
1733027601358.0,,,,341241,
1733032888640.0,,,,341241,
1733033192771.0,,,,341241,
1733033651733.0,,,,341241,
1733034083283.0,,,,341241,
1733034430362.0,,,,341241,
1733011204073.0,,,,3412C8,
1733011507151.0,,,,3412C8,
1733011815463.0,,,,3412C8,
1733012116867.0,,,,3412C8,
1733012423741.0,,,,3412C8,
1733012724807.0,,,,3412C8,
1733013028180.0,,,,3412C8,
1733013334694.0,,,,3412C8,
1733013637482.0,,,,3412C8,
1733013941130.0,,,,3412C8,
1733014242285.0,,,,3412C8,
1733014546350.0,,,,3412C8,
1733014849704.0,,,,3412C8,
1733015151806.0,,,,3412C8,
1733015456415.0,,,,3412C8,
1733015759338.0,,,,3412C8,
1733016059724.0,,,,3412C8,
1733016359923.0,,,,3412C8,
1733016660181.0,,,,3412C8,
1733016963439.0,,,,3412C8,
1733017267621.0,,,,3412C8,
1733017568488.0,,,,3412C8,
1733017869323.0,,,,3412C8,
1733018170840.0,,,,3412C8,
1733018476110.0,,,,3412C8,
1733018777349.0,,,,3412C8,
1733019080729.0,,,,3412C8,
1733019382319.0,,,,3412C8,
1733019685743.0,,,,3412C8,
1733019985873.0,,,,3412C8,
1733020288607.0,,,,3412C8,
1733020591835.0,,,,3412C8,
1733020892109.0,,,,3412C8,
1733021209930.0,,,,3412C8,
1733021933441.0,,,,3412C8,
1733022234550.0,,,,3412C8,
1733035830825.0,,,,3412C8,
1733036130834.0,,,,3412C8,
1733036435352.0,,,,3412C8,
1733037006842.0,,,,3412C8,
1733033209422.0,,,,3412D5,
1733033509844.0,,,,3412D5,
1733033810908.0,,,,3412D5,
1733034112071.0,,,,3412D5,
1733034412129.0,,,,3412D5,
1733034895888.0,,,,3412D5,
1733036170014.0,,,,3412D5,
1733036470045.0,,,,3412D5,
1733036770634.0,,,,3412D5,
1733037071497.0,,,,3412D5,
1733034776531.0,,,,34134D,
1733035076885.0,,,,34134D,
1733035377102.0,256.0,40.65257961467161,-3.4718669544566763,34134D,0.0
1733035677446.0,386.0,41.06228585970604,-3.254574862393466,34134D,0.0
1733035977784.0,447.0,41.62774658203125,-3.1041994961825283,34134D,0.0
1733036277853.0,466.0,42.24866964049258,-2.9362239394077037,34134D,0.0
1733036578406.0,465.0,42.78969974841102,-2.625732421875,34134D,0.0
1733026239852.0,,,,34134E,
1733026540220.0,135.0,40.504776259600106,-3.574676513671875,34134E,0.0
1733026840316.0,278.0,40.768341064453125,-3.4227294921875,34134E,0.0
1733027140605.0,402.0,41.25077819824219,-3.2679443359375,34134E,0.0
