scenario_name,icao,holding_point,runway,time_to_takeoff_s
scenario_001.parquet,34324e,K2,14L/32R,91.28345999999998
scenario_002.parquet,4bb26b,K1,14L/32R,97.20333000000007
scenario_003.parquet,3451d8,K3,14L/32R,63.47138000000005
scenario_004.parquet,3420ca,K2,14L/32R,115.60662999999998
scenario_005.parquet,344416,Z4,18R/36L,142.89887000000004
scenario_006.parquet,345698,Z4,18R/36L,89.34844
scenario_007.parquet,3465c5,LE,14R/32L,105.89603999999997
scenario_008.parquet,347588,LC,14R/32L,106.29222000000003
scenario_009.parquet,4cade6,LC,14R/32L,227.77578000000005
scenario_010.parquet,344297,Z2,18R/36L,82.11572000000002
scenario_011.parquet,346458,Y2,18L/36R,62.54994999999998
scenario_012.parquet,4d2385,Z2,18R/36L,107.99696999999996
scenario_013.parquet,344416,K1,14L/32R,221.10166000000004
scenario_014.parquet,344498,Y3,18L/36R,158.20212999999998
scenario_015.parquet,4ca770,K1,14L/32R,153.91361
scenario_016.parquet,345353,Z2,18R/36L,65.97858000000002
scenario_017.parquet,3420cb,K2,14L/32R,81.23559000000002
scenario_018.parquet,34740f,Z2,18R/36L,86.21191999999998
scenario_019.parquet,495cd0,K1,14L/32R,132.89381999999995
scenario_020.parquet,3451d9,Z3,18R/36L,87.07464000000002
scenario_021.parquet,342213,LC,14R/32L,134.96944999999997
scenario_022.parquet,4cae56,Z2,18R/36L,90.08760999999998
scenario_023.parquet,0a0018,Z2,18R/36L,80.13770999999997
scenario_024.parquet,34604c,Z4,18R/36L,83.59628000000001
scenario_025.parquet,347219,Z3,18R/36L,88.94157
scenario_026.parquet,346303,Z3,18R/36L,102.84482000000004
scenario_027.parquet,34529a,LD,14R/32L,178.20708000000002
scenario_028.parquet,34644c,Z4,18R/36L,137.88411999999994
scenario_029.parquet,4bb289,Y3,18L/36R,78.67066999999999
scenario_030.parquet,34659a,Z3,18R/36L,224.7173099999999
scenario_031.parquet,484556,Z2,18R/36L,143.28439999999998
scenario_032.parquet,3453c1,K2,14L/32R,59.857560000000014
scenario_033.parquet,346303,LE,14R/32L,113.65066999999995
scenario_034.parquet,346458,LE,14R/32L,99.02824999999997
scenario_035.parquet,344416,LC,14R/32L,350.56976
scenario_036.parquet,3465c5,LE,14R/32L,94.88699999999996
scenario_037.parquet,44cdc8,Y3,18L/36R,62.981090000000016
scenario_038.parquet,34224e,K2,14L/32R,112.26495000000001
scenario_039.parquet,495279,Z4,18R/36L,93.80108000000001
scenario_040.parquet,347488,Z3,18R/36L,93.73031999999999
scenario_041.parquet,3415cf,K2,14L/32R,131.49018
scenario_042.parquet,346385,Y3,18L/36R,66.78747000000003
scenario_043.parquet,344487,LC,14R/32L,160.90996000000004
scenario_044.parquet,345543,Y1,18L/36R,78.84914999999997
scenario_045.parquet,34530c,Z2,18R/36L,63.41745999999999
scenario_046.parquet,347386,Z3,18R/36L,110.12229
scenario_047.parquet,3442cb,Z4,18R/36L,74.37760000000002
scenario_048.parquet,4d02c7,Y1,18L/36R,61.02260000000003
scenario_049.parquet,7811a2,K1,14L/32R,147.66988000000003
scenario_050.parquet,347588,Z4,18R/36L,104.37003
scenario_051.parquet,346083,Z2,18R/36L,96.94841000000004
scenario_052.parquet,344416,LC,14R/32L,99.38609000000001
scenario_053.parquet,8963dc,Y3,18L/36R,71.50630999999998
scenario_054.parquet,345319,Z3,18R/36L,92.58701
scenario_055.parquet,e80474,Y2,18L/36R,88.95911
scenario_056.parquet,3423c4,Y1,18L/36R,132.84945999999997
scenario_057.parquet,347306,Y1,18L/36R,108.23373
scenario_058.parquet,4d2422,LC,14R/32L,97.59086
scenario_059.parquet,345543,K2,14L/32R,114.48305999999998
scenario_060.parquet,02a260,K2,14L/32R,88.96281999999998
scenario_061.parquet,345597,Y2,18L/36R,171.47209999999987
scenario_062.parquet,34520e,Z3,18R/36L,149.0184800000001
scenario_063.parquet,34444b,Z2,18R/36L,78.4527
scenario_064.parquet,34324e,Y1,18L/36R,87.87057999999999
scenario_065.parquet,347481,Z2,18R/36L,149.41862
scenario_066.parquet,34510a,Y2,18L/36R,118.44267000000008
scenario_067.parquet,347645,LD,14R/32L,179.28636999999995
scenario_068.parquet,780bb6,Z2,18R/36L,77.33940999999994
scenario_069.parquet,344341,Z4,18R/36L,80.98892
scenario_070.parquet,34628d,K1,14L/32R,103.19568000000002
scenario_071.parquet,345698,Y1,18L/36R,58.686340000000044
scenario_072.parquet,4b161f,Y2,18L/36R,114.74917999999997
scenario_073.parquet,3451cd,Z3,18R/36L,81.53846000000001
scenario_074.parquet,e8043a,Z1,18R/36L,143.66086999999996
scenario_075.parquet,346057,K1,14L/32R,184.23305000000005
scenario_076.parquet,344485,Z2,18R/36L,66.65207999999993
scenario_077.parquet,4cadbc,Z2,18R/36L,73.36789999999998
scenario_078.parquet,342090,Z4,18R/36L,80.19480999999998
scenario_079.parquet,39a202,K2,14L/32R,161.82667
scenario_080.parquet,440062,LC,14R/32L,140.86406000000005
scenario_081.parquet,39ceaa,Z2,18R/36L,72.92518999999996
scenario_082.parquet,4d2273,K2,14L/32R,64.23476
scenario_083.parquet,34604c,Z4,18R/36L,74.57521000000001
scenario_084.parquet,34640e,Z1,18R/36L,208.08495999999997
scenario_085.parquet,344346,Z3,18R/36L,222.77897999999993
scenario_086.parquet,3c6641,Z2,18R/36L,108.45782999999994
scenario_087.parquet,3461cb,K1,14L/32R,238.12809999999993
scenario_088.parquet,4d221a,Y3,18L/36R,115.75614000000002
scenario_089.parquet,34448d,Z4,18R/36L,167.78586000000004
scenario_090.parquet,34640e,LE,14R/32L,110.22454999999995
scenario_091.parquet,44cdd0,LC,14R/32L,125.15590999999996
scenario_092.parquet,3462c9,Z2,18R/36L,75.92818000000003
scenario_093.parquet,347219,Z3,18R/36L,88.88001999999997
scenario_094.parquet,4bc856,K2,14L/32R,192.7490600000001
scenario_095.parquet,02a263,Z2,18R/36L,94.29401000000003
scenario_096.parquet,3444c3,K2,14L/32R,60.445430000000044
scenario_097.parquet,347219,LC,14R/32L,114.87413000000006
scenario_098.parquet,34635a,Z2,18R/36L,123.94854000000001
scenario_099.parquet,3450d8,Z2,18R/36L,70.20634999999999
scenario_100.parquet,3455d5,Z1,18R/36L,222.74117999999996
scenario_101.parquet,89648a,K1,14L/32R,99.89250000000004
scenario_102.parquet,4ca56d,LC,14R/32L,109.22552999999999
scenario_103.parquet,346386,Z1,18R/36L,205.55284999999995
scenario_104.parquet,48c224,Y2,18L/36R,86.47157999999999
scenario_105.parquet,347311,Z4,18R/36L,72.36429999999997
scenario_106.parquet,4cae90,Z2,18R/36L,78.41044999999998
scenario_107.parquet,34324f,Y3,18L/36R,73.40391999999999
scenario_108.parquet,34324f,Z4,18R/36L,129.22794999999996
scenario_109.parquet,3420ca,Y1,18L/36R,118.49162
scenario_110.parquet,400a0e,Z3,18R/36L,137.21541999999994
scenario_111.parquet,3420cc,Z4,18R/36L,125.14920000000002
scenario_112.parquet,3415cf,Z4,18R/36L,142.2101700000001
scenario_113.parquet,345687,K2,14L/32R,110.77660999999996
scenario_114.parquet,3453cc,Z2,18R/36L,79.17436000000001
scenario_115.parquet,4cadbe,LE,14R/32L,138.38885
scenario_116.parquet,346204,LD,14R/32L,187.54853000000003
scenario_117.parquet,4cae49,Z4,18R/36L,128.53973999999994
scenario_118.parquet,346303,K1,14L/32R,90.48043000000001
scenario_119.parquet,344217,LC,14R/32L,94.59061000000005
scenario_120.parquet,345685,LC,14R/32L,108.28668999999996
scenario_121.parquet,a14bdd,Z2,18R/36L,87.22940999999996
scenario_122.parquet,3415ce,K2,14L/32R,127.66121999999997
